Sample1	Sample2	SNVs	BasesCompared	TotalBases
p2_bsi_2	p3_meta_5	28433	4721551	5324709
p2_bsi_2	p19_meta_2	28239	4731118	5324709
p2_bsi_2	p2_meta_2	314	4821317	5324709
p2_bsi_2	p14_bsi_1	145126	3716036	5324709
p2_bsi_2	p4_meta_6	125583	3825131	5324709
p2_bsi_2	p4_meta_7	71055	2736860	5324709
p3_meta_5	p19_meta_2	26719	4687954	5324709
p3_meta_5	p2_meta_2	20310	4718289	5324709
p3_meta_5	p14_bsi_1	142625	3668877	5324709
p3_meta_5	p4_meta_6	123874	3768139	5324709
p3_meta_5	p4_meta_7	69990	2707869	5324709
p19_meta_2	p2_meta_2	19583	4720724	5324709
p19_meta_2	p14_bsi_1	143451	3685171	5324709
p19_meta_2	p4_meta_6	124197	3770712	5324709
p19_meta_2	p4_meta_7	70423	2717912	5324709
p2_meta_2	p14_bsi_1	137555	3703316	5324709
p2_meta_2	p4_meta_6	117405	3813017	5324709
p2_meta_2	p4_meta_7	65333	2729880	5324709
p14_bsi_1	p4_meta_6	130955	3251249	5324709
p14_bsi_1	p4_meta_7	86626	2415178	5324709
p4_meta_6	p4_meta_7	13552	2710390	5324709
